y_sigma_n,z_mbb_sigma,w_num_bands_mbb,Mean_Value,Best_Cost
8.36065277,7.86591596,2.09080749,[84.09468228],0
3.98540193,5.06128546,8.93101947,[84.08791834],0
8.07062603,4.4569162,6.02123964,[84.09419361],0
6.48292976,4.5472818,4.43413202,[84.3494902],0
5.62240361,2.25507749,4.77161945,[84.09049042],0
8.66288847,3.93363084,6.37552606,[84.09548298],0
6.03576412,5.09623172,7.02446238,[84.09096044],0
7.40906838,9.15874811,1.35926965,[84.09299099],0
6.29936658,2.87673369,9.85112925,[84.09135997],0
7.49916273,3.33636916,7.38733984,[84.09324234],0
9.87163807,8.64357142,6.71516805,[84.09709631],0
7.82030037,4.86366946,9.72913984,[84.09372757],0
6.12540932,5.34336207,9.49821876,[84.09099408],0
7.19390575,5.65949015,10.0,[84.09282035],0
